pickup_date,total_revenue,trip_count
2024-12-25,43.2,1
2024-12-29,72.94,1
2024-12-31,64.03,4
2025-01-01,25076.51,1001
2025-01-02,34256.83,1516
2025-01-03,36517.69,1525
2025-01-04,27869.2,1249
2025-01-05,25823.69,1129
2025-01-06,34049.13,1541
2025-01-07,36844.24,1648
2025-01-08,37905.12,1680
2025-01-09,42532.87,1868
2025-01-10,37417.57,1633
2025-01-11,29093.79,1296
2025-01-12,26055.16,1143
2025-01-13,36501.96,1618
2025-01-14,38797.16,1775
2025-01-15,42300.48,1886
2025-01-16,44256.48,1909
2025-01-17,41631.73,1810
2025-01-18,28038.76,1197
2025-01-19,23401.09,1113
2025-01-20,23983.0,1084
2025-01-21,39345.09,1788
2025-01-22,40096.26,1812
2025-01-23,41033.58,1849
2025-01-24,39055.65,1714
2025-01-25,30567.14,1336
2025-01-26,29302.44,1308
2025-01-27,39231.91,1704
2025-01-28,39710.33,1771
2025-01-29,40010.02,1748
2025-01-30,43201.86,1909
2025-01-31,39088.06,1728
2025-02-01,34134.48,1560
2025-02-02,33344.49,1321
2025-02-03,38154.63,1690
2025-02-04,38923.84,1702
2025-02-05,41383.55,1839
2025-02-06,40624.41,1745
2025-02-07,45110.55,1909
2025-02-08,31171.61,1450
2025-02-09,29867.53,1227
2025-02-10,41964.95,1838
2025-02-11,40541.93,1832
2025-02-12,40774.93,1788
2025-02-13,42230.33,1918
2025-02-14,47550.48,2089
2025-02-15,30419.55,1312
2025-02-16,27386.14,1126
2025-02-17,28205.2,1288
2025-02-18,38240.81,1736
2025-02-19,40578.62,1833
2025-02-20,43210.91,1906
2025-02-21,40825.1,1810
2025-02-22,30969.5,1330
2025-02-23,32512.11,1321
2025-02-24,37877.23,1660
2025-02-25,41245.92,1817
2025-02-26,41893.21,1838
2025-02-27,46044.91,1958
2025-02-28,42035.2,1802
2025-03-01,32420.71,1439
2025-03-02,32140.31,1310
2025-03-03,38199.94,1703
2025-03-04,40684.16,1787
2025-03-05,43755.11,1981
2025-03-06,47648.44,2022
2025-03-07,40446.97,1780
2025-03-08,35410.85,1488
2025-03-09,31776.67,1281
2025-03-10,37799.4,1616
2025-03-11,41996.7,1737
2025-03-12,41662.55,1813
2025-03-13,48362.43,2010
2025-03-14,44234.66,1829
2025-03-15,38497.96,1525
2025-03-16,32981.64,1259
2025-03-17,39849.25,1704
2025-03-18,41036.05,1673
2025-03-19,42207.55,1756
2025-03-20,45654.69,1933
2025-03-21,42367.99,1758
2025-03-22,35502.93,1421
2025-03-23,33270.73,1275
2025-03-24,41117.25,1775
2025-03-25,40923.87,1732
2025-03-26,43970.95,1853
2025-03-27,45841.33,1856
2025-03-28,41331.85,1709
2025-03-29,42222.88,1608
2025-03-30,32197.49,1217
2025-03-31,39560.33,1692
2025-04-01,124.56,5
